Brand-Hybrid,Yield,Location,,,
Mycogen 2V717,215.0*,"Mooresville, Missouri",,,
LG Seeds LG5622STX,200.0*,"Mooresville, Missouri",,,
LG Seeds LG5607VT2PRIB,197.9,"Mooresville, Missouri",,,
Syngenta NK Seeds NK N70J-3011A,200.4*,"Mooresville, Missouri",,,
MFA MorCorn MC3859SmartStaxRIB,200.9*,"Mooresville, Missouri",,,
Merschman Seeds M - 1212K - 17,174.2,"Mooresville, Missouri",,,
Merschman Seeds M - 1213F - 16,215.1*,"Mooresville, Missouri",,,
AgriGold A6533VT3PRIB,203.6*,"Mooresville, Missouri",,,
MFA MorCorn MC4344VT2PRIB,175.9,"Mooresville, Missouri",,,
Golden Acres G5621,198.7,"Mooresville, Missouri",,,
MFA MorCorn MC3544VT2PRIB,173.2,"Mooresville, Missouri",,,
Lewis R1409VT2P,171.0,"Mooresville, Missouri",,,
Dekalb DKC65-79GENSSRIB,219.3*,"Mooresville, Missouri",,,
Merschman Seeds M - 1408F - 15,177.8,"Mooresville, Missouri",,,
Dekalb DKC62-98GENVT2PRIB,187.7,"Mooresville, Missouri",,,
Dyna-Gro D52VC91,195.6,"Mooresville, Missouri",,,
NuTech/G2 Genetics 5F-709,174.9,"Mooresville, Missouri",,,
Green Valley Seed GV8242VT2ProRIB,184.5,"Mooresville, Missouri",,,
Midland 573PRW,193.1,"Mooresville, Missouri",,,
Midland 735PRW,167.5,"Mooresville, Missouri",,,
MFA MorCorn XP-603SmartStax,188.0,"Mooresville, Missouri",,,
ProHarvest 8330VT2P RIB,194.9,"Mooresville, Missouri",,,
FS InVISION FS 62SX1 RIB,205.8*,"Mooresville, Missouri",,,
ProHarvest  8388VT2P RIB,187.6,"Mooresville, Missouri",,,
NuTech/G2 Genetics 3F-814,183.7,"Mooresville, Missouri",,,
Producers Hybrids 7414VT3PRIB,187.4,"Mooresville, Missouri",,,
Mycogen 2C799,183.3,"Mooresville, Missouri",,,
NuTech/G2 Genetics 5F-811,200.5*,"Mooresville, Missouri",,,
Dekalb DKC64-69GENSSRIB,191.4,"Mooresville, Missouri",,,
Green Valley Seed GV8142VT2Pro,187.3,"Mooresville, Missouri",,,
AgriGold A6442STXRIB,199.5,"Mooresville, Missouri",,,
Golden Harvest G09E98-3000GT,192.6,"Mooresville, Missouri",,,
FS InVISION FS 64MX1 RIB,165.5,"Mooresville, Missouri",,,
Channel 213-37 VT2PRIB Brand Blend,207.1*,"Mooresville, Missouri",,,
NuTech/G2 Genetics 5H-216,153.1,"Mooresville, Missouri",,,
NuTech/G2 Genetics 5F-113,171.0,"Mooresville, Missouri",,,
NuTech/G2 Genetics 5H-806,197.7,"Mooresville, Missouri",,,
Merschman Seeds M - 1311R - 17,185.4,"Mooresville, Missouri",,,
Dekalb DKC57-75RIB,192.5,"Mooresville, Missouri",,,
MFA MorCorn MC4154VT2PRIB,181.4,"Mooresville, Missouri",,,
MFA MorCorn MC4354VT2PRIB,191.9,"Mooresville, Missouri",,,
Lewis R1312SS,197.0,"Mooresville, Missouri",,,
FS InVISION FS 61JX1 RIB,177.2,"Mooresville, Missouri",,,
Dyna-Gro D51VP32,166.0,"Mooresville, Missouri",,,
Golden Harvest G07F23-3111,210.0*,"Mooresville, Missouri",,,
Mycogen 2C788,208.6*,"Mooresville, Missouri",,,
Mycogen 2V709,202.5*,"Mooresville, Missouri",,,
Dekalb DKC60-55GENDGVT2PRIB,171.6,"Mooresville, Missouri",,,
